,name,gender,word,reading_time,salience,age
0,fj,male,This,0.49648320000005697,False,33
1,fj,male,is,0.5315421999998762,False,33
2,fj,male,a,0.3375624999998763,False,33
3,fj,male,short,0.32703689999971175,False,33
4,fj,male,story,0.2732970000001842,False,33
5,fj,male,about,0.21381239999982427,False,33
6,fj,male,Hungry,0.23805609999999433,False,33
7,fj,male,Wolf.,0.42225310000003446,False,33
8,fj,male,"Once,",0.316500299999916,False,33
9,fj,male,a,0.23029219999989436,False,33
10,fj,male,wolf,0.28500530000019353,False,33
11,fj,male,was,0.2660608000001048,False,33
12,fj,male,very,0.29070080000019516,False,33
13,fj,male,hungry.,0.24550399999998263,False,33
14,fj,male,It,0.29074320000017906,False,33
15,fj,male,looked,0.25441849999970145,False,33
16,fj,male,for,0.21474149999994552,False,33
17,fj,male,food,0.2227063000000271,False,33
18,fj,male,here,0.2616752000003544,False,33
19,fj,male,and,0.22689989999980753,False,33
20,fj,male,there.,0.24240950000012162,False,33
21,fj,male,But,0.29155430000037086,False,33
22,fj,male,it,0.2905034999998861,False,33
23,fj,male,couldn't,0.29291860000012093,False,33
24,fj,male,get,0.42164199999979246,False,33
25,fj,male,any.,0.5374354000000494,False,33
26,fj,male,At,0.21290769999995973,False,33
27,fj,male,last,0.2077979000000596,False,33
28,fj,male,it,0.3170146000002205,False,33
29,fj,male,found,0.41372240000009697,False,33
30,fj,male,a,0.3096694999999272,False,33
31,fj,male,loaf,0.4208898000001682,False,33
32,fj,male,of,0.3583339000001615,False,33
33,fj,male,bread,0.31297889999996187,False,33
34,fj,male,and,0.4589853000002222,False,33
35,fj,male,piece,0.2560416000001169,False,33
36,fj,male,of,0.31534560000000056,False,33
37,fj,male,meat,0.3203647999998793,False,33
38,fj,male,in,0.3808716000003187,False,33
39,fj,male,the,0.3080542000002424,False,33
40,fj,male,hole,0.28249400000004243,False,33
41,fj,male,of,0.43519849999984217,False,33
42,fj,male,a,0.2543021999999837,False,33
43,fj,male,tree.,0.29496579999977257,False,33
44,fj,male,The,0.35414600000012797,False,33
45,fj,male,hungry,0.3226849000002403,False,33
46,fj,male,wolf,0.3113539999999375,False,33
47,fj,male,squeezed,0.26079200000003766,False,33
48,fj,male,into,0.35182380000014746,False,33
49,fj,male,the,0.3874705999996877,False,33
50,fj,male,hole.,0.38139549999959854,False,33
51,fj,male,It,0.34227789999977176,False,33
52,fj,male,ate,0.3327180999999655,False,33
53,fj,male,all,0.2946956999999202,False,33
54,fj,male,the,0.315170500000022,False,33
55,fj,male,food.,0.3141189000002669,False,33
56,fj,male,It,0.3528588999997737,False,33
57,fj,male,was,0.37574140000015177,False,33
58,fj,male,a,0.2782225999999355,False,33
59,fj,male,woodcutter's,0.32864169999993464,False,33
60,fj,male,lunch.,0.34109330000001137,False,33
61,fj,male,He,0.3893121000000974,False,33
62,fj,male,was,0.3049261999999544,False,33
63,fj,male,on,0.29458440000007613,False,33
64,fj,male,his,0.36776559999998426,False,33
65,fj,male,way,0.3139618000000155,False,33
66,fj,male,back,0.3274764999996478,False,33
67,fj,male,to,0.3409762999999657,False,33
68,fj,male,the,0.3120406000002731,False,33
69,fj,male,tree,0.3240021000001434,False,33
70,fj,male,to,0.3496647000001758,False,33
71,fj,male,have,0.3278320999997959,False,33
72,fj,male,lunch.,0.3066185000002406,False,33
73,fj,male,But,0.3671696000001248,False,33
74,fj,male,he,0.4028747000002113,False,33
75,fj,male,saw,0.2987279999997554,False,33
76,fj,male,there,0.34926949999999124,False,33
77,fj,male,was,0.3822045000001708,False,33
78,fj,male,no,0.3018662000004042,False,33
79,fj,male,food,0.314210600000024,False,33
80,fj,male,in,0.3654593000001114,False,33
81,fj,male,the,0.3466744999996081,False,33
82,fj,male,"hole,",0.2895813999998609,False,33
83,fj,male,"instead,",0.393571300000076,False,33
84,fj,male,a,0.32616530000041166,False,33
85,fj,male,wolf.,0.3337621999999101,False,33
86,fj,male,On,0.5556054999997286,False,33
87,fj,male,seeing,0.22237319999976535,False,33
88,fj,male,the,0.3354237999997167,False,33
89,fj,male,"woodcutter,",0.4249411000000691,False,33
90,fj,male,the,0.28727170000001934,False,33
91,fj,male,wolf,0.25815719999991416,False,33
92,fj,male,tried,0.26876250000032087,False,33
93,fj,male,to,0.32452120000016293,False,33
94,fj,male,get,0.2764799999999923,False,33
95,fj,male,out,0.2837899999999536,False,33
96,fj,male,of,0.2521600000000035,False,33
97,fj,male,the,0.29207980000001044,False,33
98,fj,male,hole.,0.29673410000032163,False,33
99,fj,male,But,0.34906869999986156,False,33
100,fj,male,it,0.36229750000029526,False,33
101,fj,male,couldn't.,0.29698199999984354,False,33
102,fj,male,Its,0.33134379999955854,False,33
103,fj,male,tummy,0.3169324000000415,False,33
104,fj,male,was,0.29595259999996415,False,33
105,fj,male,swollen.,0.31769600000006903,False,33
106,fj,male,The,0.3160419999999249,False,33
107,fj,male,woodcutter,0.4052077000001191,False,33
108,fj,male,caught,0.24595829999998386,False,33
109,fj,male,the,0.24526149999974223,False,33
110,fj,male,wolf,0.35822390000021187,True,33
111,fj,male,and,0.36888290000024426,False,33
112,fj,male,gave,0.34153669999977865,False,33
113,fj,male,it,0.3258637999997518,False,33
114,fj,male,nice,0.31543169999986276,False,33
115,fj,male,beatings.,0.26393030000008366,False,33
