participant,trial,distraction,true_pos,false_pos,total_matches, total_pressed,stim_count, stimuli, sit_duration, perceivedExertion
bb1,1,verbal,3,0,5,3,29,pseudo_EN/w11.wav_pseudo_EN/w8.wav_pseudo_EN/w20.wav_pseudo_EN/w8.wav_pseudo_EN/w20.wav_pseudo_EN/w1.wav_pseudo_EN/w15.wav_pseudo_EN/w5.wav_pseudo_EN/w3.wav_pseudo_EN/w10.wav_pseudo_EN/w3.wav_pseudo_EN/w4.wav_pseudo_EN/w19.wav_pseudo_EN/w17.wav_pseudo_EN/w9.wav_pseudo_EN/w6.wav_pseudo_EN/w23.wav_pseudo_EN/w13.wav_pseudo_EN/w23.wav_pseudo_EN/w21.wav_pseudo_EN/w2.wav_pseudo_EN/w22.wav_pseudo_EN/w18.wav_pseudo_EN/w16.wav_pseudo_EN/w18.wav_pseudo_EN/w14.wav_pseudo_EN/w24.wav_pseudo_EN/w7.wav_pseudo_EN/w12.wav,56.79479661700316,8
bb1,2,visual,2,0,4,2,24,polygons_2/p1.jpg_polygons_2/p2.jpg_polygons_2/p3.jpg_polygons_2/p2.jpg_polygons_2/p4.jpg_polygons_2/p5.jpg_polygons_2/p6.jpg_polygons_2/p5.jpg_polygons_2/p7.jpg_polygons_2/p8.jpg_polygons_2/p9.jpg_polygons_2/p10.jpg_polygons_2/p11.jpg_polygons_2/p12.jpg_polygons_2/p11.jpg_polygons_2/p13.jpg_polygons_2/p14.jpg_polygons_2/p15.jpg_polygons_2/p16.jpg_polygons_2/p15.jpg_polygons_2/p17.jpg_polygons_2/p18.jpg_polygons_2/p19.jpg_polygons_2/p20.jpg,46.045965145982336,7
bb1,3,control,NA,NA,NA,NA,NA,N_A,34.21400724601699,8
