participant,trial,distraction,true_pos,false_pos,total_matches, total_pressed,stim_count, stimuli, sit_duration, perceivedExertion
1669,1,control,NA,NA,NA,NA,NA,N_A,63.620908800003235,6
1669,2,verbal,1,2,3,3,15,pseudo_EN/w11.wav_pseudo_EN/w8.wav_pseudo_EN/w20.wav_pseudo_EN/w8.wav_pseudo_EN/w20.wav_pseudo_EN/w1.wav_pseudo_EN/w15.wav_pseudo_EN/w5.wav_pseudo_EN/w3.wav_pseudo_EN/w10.wav_pseudo_EN/w3.wav_pseudo_EN/w4.wav_pseudo_EN/w19.wav_pseudo_EN/w17.wav_pseudo_EN/w9.wav,38.038862200002768,7
1669,3,visual,2,0,4,2,24,polygons_2/p6.jpg_polygons_2/p15.jpg_polygons_2/p10.jpg_polygons_2/p1.jpg_polygons_2/p10.jpg_polygons_2/p21.jpg_polygons_2/p18.jpg_polygons_2/p5.jpg_polygons_2/p18.jpg_polygons_2/p17.jpg_polygons_2/p7.jpg_polygons_2/p2.jpg_polygons_2/p23.jpg_polygons_2/p4.jpg_polygons_2/p23.jpg_polygons_2/p24.jpg_polygons_2/p20.jpg_polygons_2/p22.jpg_polygons_2/p19.jpg_polygons_2/p9.jpg_polygons_2/p19.jpg_polygons_2/p3.jpg_polygons_2/p14.jpg_polygons_2/p8.jpg,46.0647253000061,8
